cid,mouse_vi,smiles
2206,500.0,Cc1cc(=O)n(-c2ccccc2)n1C
2230,36.0,COC(=O)C1=CCCN(C)C1
2236,38.4,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
2247,35.0,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
2249,57.0,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
2267,25.4,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1
2273,138.0,NS(=O)(=O)c1cc(-c2nn[nH]n2)c(NCc2cccs2)cc1Cl
2284,31.0,NCC(CC(=O)O)c1ccc(Cl)cc1
2292,72.0,CCCCNCC(O)c1ccc(O)cc1
2309,100.0,CC(=O)c1cc2cccc(OCC(O)CNC(C)C)c2o1
2310,16.0,CCC1(C)CC(=O)NC(=O)C1
2313,380.0,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12
2315,395.0,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
2320,2200.0,CC(=C(CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N
2333,77.0,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
2343,410.0,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O
2361,180.0,O=c1cc(-c2ccccc2)oc2ccc3ccccc3c12
2368,16.307,CN=C(NC)NCc1ccccc1
2378,57.0,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
2381,56.0,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
2406,18.0,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
2448,18.9,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1
2450,48.0,O=[N+]([O-])C(Br)(CO)CO
2451,20.0,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2
2461,371.0,CCCCC1C(=O)NC(=O)N(C2CCCCC2)C1=O
2471,200.0,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
2473,46.0,CC(C)(C)NCC(O)COc1ccccc1C#N
2474,7.1000000000000005,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
2475,45.0,Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1
2479,175.0,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
2515,162.0,CCOC(=O)NNc1ccc(N(CC)CC(C)O)nn1
2519,62.0,Cn1c(=O)c2c(ncn2C)n(C)c1=O
2520,1.52,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
2528,10000.0,CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I
2562,13.0,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1
2564,18.0,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1
2566,0.45,CNC(=O)Oc1cccc2c1OC(C)(C)C2
2569,5.43,COC(COC(N)=O)C1=C(N2CC2)C(=O)C(C)=C(N2CC2)C1=O
2576,165.0,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
2578,45.0,O=NN(CCCl)C(=O)NCCCl
2580,28.0,NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1
2585,27.0,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
2680,681.0,NCC1CCC(C(=O)Oc2ccc(CCC(=O)O)cc2)CC1
2683,30.0,CCCCCCCCCCCCCCCC[n+]1ccccc1
2707,530.0,OC(O)C(Cl)(Cl)Cl
2712,95.0,CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1
2719,21.6,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
2720,940.0,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
2724,239.0,NC(=O)OCC(O)COc1ccc(Cl)cc1
2725,20.0,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
2726,16.0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
2727,500.0,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
2743,56.0,CC(C)=CC1C(C(=O)O)C1(C)C
2756,150.0,CN=C(NC#N)NCCSCc1nc[nH]c1C
2762,850.0,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
2764,122.0,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
2783,27.6,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1
2787,150.0,CCC(C)(Oc1ccc(C2(c3ccc(OC(C)(CC)C(=O)O)cc3)CCCCC2)cc1)C(=O)O
2795,70.0,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl
2796,500.0,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
2801,27.0,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
2802,18.0,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
2803,180.0,Clc1cccc(Cl)c1NC1=NCCN1
2812,198.0,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
2895,36.0,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21
2904,232.0,NS(=O)(=O)c1cc2c(cc1Cl)NC(CC1CCCC1)NS2(=O)=O
2907,140.0,O=P1(N(CCCl)CCCl)NCCCO1
2913,15.0,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
2943,320.0,COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl
2950,10000.0,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21
2955,225.0,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
2969,129.0,CCCCCCCCCC(=O)O
2973,250.0,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
2995,22.0,CNCCCN1c2ccccc2CCc2ccccc21
3007,15.0,CC(N)Cc1ccccc1
3016,25.0,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
3017,180.0,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
3019,228.0,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1
3026,720.0,CCCCOC(=O)c1ccccc1C(=O)OCCCC
3038,643.0,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
3039,18.0,COP(=O)(OC)OC=C(Cl)Cl
3055,32.0,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
3078,1.5,COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN(C)C
3080,56.0,OCC(S)CS
3089,100.0,CC(CN1c2ccccc2Sc2ccc(S(=O)(=O)N(C)C)cc21)N(C)C
3091,42.2,CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1
3100,29.0,CN(C)CCOC(c1ccccc1)c1ccccc1
3103,42.0,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1
3108,85.0,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
3114,26.0,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
3115,75.0,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC=O)cn3C)cn2C)cc1C(=O)NCCC(=N)N
3128,50.0,CNC(C)Cc1ccc(Cl)cc1
3151,46.5,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
3162,62.0,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
3168,20.0,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
3182,1080.0,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
3213,19.5,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12
3221,305.0,CCOc1c(N2CCOCC2)cnn(C)c1=O
3229,327.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
3242,550.0,COc1cc(C)nc(-n2nc(C)cc2OC)n1
3276,4100.0,O=C(Cn1ccnc1[N+](=O)[O-])NCCO
3278,176.0,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
3280,45.6,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC
3283,996.0,CCOCC
3284,108.0,C#CC1(OC(N)=O)CCCCC1
3290,50.0,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
3291,780.0,CCC1(C)CC(=O)NC1=O
3293,178.0,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2
3306,36.8,CCNCC(O)c1cccc(O)c1
3309,36.0,CCN1C(=O)c2ccccc2C1Nc1ccc(OCCN2CCCCC2)cc1
3314,72.0,C=CCc1ccc(O)c(OC)c1
3333,3.1,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
3344,106.0,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1
3345,2.9,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
3346,320.0,COP(=S)(OC)Oc1ccc(SC)c(C)c1
3357,21.73,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1
3360,180.0,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12
3362,300.0,CCC(=O)c1c(O)cc(O)cc1O
3365,200.0,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
3366,500.0,Nc1[nH]c(=O)ncc1F
3371,158.0,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
3372,51.0,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
3373,143.0,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
3385,81.0,O=c1[nH]cc(F)c(=O)[nH]1
3389,56.0,CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
3393,59.1,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
3394,385.0,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
3395,194.0,CC(=O)OC(C)OC(=O)C(C)c1ccc(-c2ccccc2)c(F)c1
3406,310.0,Cc1cn[nH]c1
3418,94.0,O=C(O)c1ccccc1OP(=O)(O)O
3440,308.0,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
3442,100.0,CCCCc1ccc(C(=O)O)nc1
