cid,mouse_vo,smiles
2040,397.0,Cc1ccccc1-n1c(CF)nc2ccc(N)cc2c1=O
2078,462.0,CCc1cccc(CC)c1N(COC)C(=O)CCl
2082,1500.0,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
2083,2707.0,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
2086,0.3,CNC(=O)ON=CC(C)(C)SC
2097,1520.0,C=C(C)CNc1ccc(C(C)C(=O)O)cc1
2118,770.0,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
2123,437.0,CN(C)c1nc(N(C)C)nc(N(C)C)n1
2124,103.0,F[Al](F)F
2130,700.0,NC12CC3CC(CC(C3)C1)C2
2132,2720.0,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1
2141,842.0,NCCCNCCSP(=O)(O)O
2151,800.0,Cc1c(N)c(=O)n(-c2ccccc2)n1C
2153,235.0,Cn1c(=O)c2[nH]cnc2n(C)c1=O
2157,4000.0,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
2159,1024.0,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
2160,99.0,CN(C)CCC=C1c2ccccc2CCc2ccccc21
2161,2320.0,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
2164,345.0,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
2165,550.0,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O
2170,104.0,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
2176,2291.0,CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21
2179,53.42,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
2194,1480.0,COc1ccc(-c2cc(=S)ss2)cc1
2196,3648.0,COc1ccc(C(=O)N2CCCC2=O)cc1
2197,300.0,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1
2200,398.0,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1
2202,1542.0,O=C1c2c(O)cccc2Cc2cccc(O)c21
2206,1310.0,Cc1cc(=O)n(-c2ccccc2)n1C
2214,9000.0,COc1cc(C(C)=O)ccc1O
2218,274.0,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1
2225,143.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)=O)C1c1ccccc1[N+](=O)[O-]
2230,550.0,COC(=O)C1=CCCN(C)C1
2236,55.9,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
2244,250.0,CC(=O)Oc1ccccc1C(=O)O
2247,2560.0,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
2249,2000.0,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
2256,850.0,CCNc1nc(Cl)nc(NC(C)C)n1
2265,2500.0,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12
2267,124.0,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1
2268,8.6,COP(=S)(OC)SCn1nnc2ccccc2c1=O
2273,6350.0,NS(=O)(=O)c1cc(-c2nn[nH]n2)c(NCc2cccs2)cc1Cl
2284,200.0,NCC(CC(=O)O)c1ccc(Cl)cc1
2286,15600.0,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1
2292,562.0,CCCCNCC(O)c1ccc(O)cc1
2294,600.0,CCC1(CC)C(=O)NC(=O)NC1=O
2310,41.0,CCC1(C)CC(=O)NC(=O)C1
2313,1105.0,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12
2314,45.0,CNC(=O)Oc1cccc2c1OC(C)(C)O2
2315,10000.0,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
2316,7600.0,NC(N)=NCC1CCC(C(=O)Oc2ccccc2C(=O)OCc2ccccc2)CC1
2318,2300.0,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1
2319,5000.0,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
2320,15000.0,CC(=C(CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N
2326,1087.0,CC(COc1ccccc1Cc1ccccc1)N1CCCCC1
2328,1130.0,CC(C)N1C(=O)c2ccccc2NS1(=O)=O
2331,1160.0,NC(=O)c1ccccc1
2333,618.0,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
2337,2500.0,CCOC(=O)c1ccc(N)cc1
2343,5000.0,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O
2345,1400.0,O=C(OCc1ccccc1)c1ccccc1
2347,4170.0,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1
2348,10000.0,NS(=O)(=O)c1cc2c(cc1Cl)NC(Cc1ccccc1)NS2(=O)=O
2353,329.0,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2
2355,8100.0,COc1c2ccoc2cc2oc(=O)ccc12
2366,2920.0,CNCCc1ccccn1
2374,1800.0,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O
2378,2629.0,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
2381,530.0,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
2391,17500.0,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1
2406,760.0,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
2435,160.0,Brc1c(NC2=NCCN2)ccc2nccnc12
2441,879.0,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1
2446,310.0,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC
2447,1340.0,CC(C)C(Br)C(=O)NC(N)=O
2448,174.0,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1
2449,1520.0,CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O
2450,270.0,O=[N+]([O-])C(Br)(CO)CO
2451,10000.0,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2
2453,7420.0,Oc1c(Br)cc(Br)c2cccnc12
2461,1550.0,CCCCC1C(=O)NC(=O)N(C2CCCCC2)C1=O
2463,1820.0,CC(C)=CC(C)=NNc1nncc2ccccc12
2466,8000.0,CCCCOc1ccc(CC(=O)NO)cc1
2468,300.0,CCCCN=C(N)N=C(N)N
2471,4624.0,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
2478,110.0,CS(=O)(=O)OCCCCOS(C)(=O)=O
2486,5600.0,CCCCC(CC)CNC(=O)CC(C)OC(=O)CCC(=O)O
2513,1200.0,C[As](C)(=O)O
2515,825.0,CCOC(=O)NNc1ccc(N(CC)CC(C)O)nn1
2519,127.0,Cn1c(=O)c2c(ncn2C)n(C)c1=O
2520,130.0,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
2528,46.8,CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I
2540,2000.0,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
2543,13500.0,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2
2554,529.0,NC(=O)N1c2ccccc2C=Cc2ccccc21
2557,35832.0,CN1CC(O)c2cc(N=NC(N)=O)c(O)cc21
2562,130.0,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1
2566,2.0,CNC(=O)Oc1cccc2c1OC(C)(C)C2
2569,28.6,COC(COC(N)=O)C1=C(N2CC2)C(=O)C(C)=C(N2CC2)C1=O
2576,1800.0,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
2577,1129.0,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O
2578,19.0,O=NN(CCCl)C(=O)NCCCl
2580,2180.0,NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1
