cid,rat_vi,smiles
3078,1.8,COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN(C)C
3082,450.0,CNC(=O)CSP(=S)(OC)OC
3091,24.0,CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1
3100,42.0,CN(C)CCOC(c1ccccc1)c1ccccc1
3108,195.0,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
3114,39.1,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
3118,5.5,CCOP(=S)(OCC)SCCSCC
3128,52.0,CNC(C)Cc1ccc(Cl)cc1
3151,41.7,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
3166,37.0,CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1
3168,30.0,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
3169,200.0,OCC(O)CN1CCN(c2ccccc2)CC1
3182,860.0,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
3221,340.0,CCOc1c(N2CCOCC2)cnn(C)c1=O
3229,236.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
3242,214.0,COc1cc(C)nc(-n2nc(C)cc2OC)n1
3276,3716.0,O=C(Cn1ccnc1[N+](=O)[O-])NCCO
3284,157.0,C#CC1(OC(N)=O)CCCCC1
3290,15.0,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
3309,42.0,CCN1C(=O)c2ccccc2C1Nc1ccc(OCCN2CCCCC2)cc1
3333,5.4,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
3344,122.0,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1
3345,2.91,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
3357,20.405,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1
3360,160.0,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12
3362,246.0,CCC(=O)c1c(O)cc(O)cc1O
3365,200.0,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
3366,600.0,Nc1[nH]c(=O)ncc1F
3371,98.0,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
3373,85.0,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
3385,245.0,O=c1[nH]cc(F)c(=O)[nH]1
3393,38.7,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
3395,88.0,CC(=O)OC(C)OC(=O)C(C)c1ccc(-c2ccccc2)c(F)c1
3406,310.0,Cc1cn[nH]c1
3418,153.0,O=C(O)c1ccccc1OP(=O)(O)O
3440,800.0,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
3442,210.0,CCCCc1ccc(C(=O)O)nc1
3467,70.0,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1
3485,9.8,O=CCCCC=O
3516,360.0,COc1ccccc1OCC(O)CO
3559,15.0,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
3598,7.5,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
3604,35.0,C[N+](C)(C)CCCCCC[N+](C)(C)C
3627,36.0,CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
3634,75.0,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12
3637,34.0,NNc1nncc2ccccc12
3639,990.0,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
3657,4730.0,NC(=O)NO
3658,45.0,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
3671,42.5,CC(C)C(=O)c1c(C(C)C)nn2ccccc12
3676,18.0,CCN(CC)CC(=O)Nc1c(C)cccc1C
3677,13.0,CNC(C)(C)Cc1ccccc1
3690,190.0,O=P1(NCCCl)OCCCN1CCCl
3696,9.3,CN(C)CCCN1c2ccccc2CCc2ccccc21
3698,75.0,Nc1cc(-c2ccncc2)c[nH]c1=O
3702,394.0,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
3715,21.0,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
3720,268.0,O=C(OC1C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1
3724,42757.0,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
3730,25235.0,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
3731,14300.0,CN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
3735,280.0,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O
3736,21403.0,COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I
3738,27000.0,CN(C(=O)CC(=O)N(C)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I
3740,4190.0,O=C(COCCOCCOCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I
