cid,rat_vo,smiles
1981,24.2,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
1982,700.0,COP(=O)(NC(C)=O)SC
1983,1944.0,CC(=O)Nc1ccc(O)cc1
1988,763.0,CCOCN(C(=O)CCl)c1c(C)cccc1CC
1989,2000.0,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
1999,2483.0,CCC(C(=O)NC(=O)NC(C)=O)c1ccccc1
2006,4000.0,O=C(O)C(=O)Nc1cccc(-c2nn[nH]n2)c1
2018,14800.0,CC(=O)Nc1ccc(CC(=O)O)cc1
2040,249.0,Cc1ccccc1-n1c(CF)nc2ccc(N)cc2c1=O
2078,930.0,CCc1cccc(CC)c1N(COC)C(=O)CCl
2082,2400.0,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
2083,660.0,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
2086,0.5,CNC(=O)ON=CC(C)(C)SC
2097,550.0,C=C(C)CNc1ccc(C(C)C(=O)O)cc1
2118,1220.0,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
2120,2500.0,O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O
2123,350.0,CN(C)c1nc(N(C)C)nc(N(C)C)n1
2130,900.0,NC12CC3CC(CC(C3)C1)C2
2132,13400.0,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1
2141,826.0,NCCCNCCSP(=O)(O)O
2151,1700.0,Cc1c(N)c(=O)n(-c2ccccc2)n1C
2153,225.0,Cn1c(=O)c2[nH]cnc2n(C)c1=O
2155,480.0,Nc1nccs1
2160,320.0,CN(C)CCC=C1c2ccccc2CCc2ccccc21
2161,10000.0,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
2164,250.0,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
2170,313.0,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
2176,747.0,CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21
2196,4500.0,COc1ccc(C(=O)N2CCCC2=O)cc1
2202,3216.0,O=C1c2c(O)cccc2Cc2cccc(O)c21
2206,1705.0,Cc1cc(=O)n(-c2ccccc2)n1C
2225,1459.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)=O)C1c1ccccc1[N+](=O)[O-]
2230,2500.0,COC(=O)C1=CCCN(C)C1
2236,184.0,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
2244,200.0,CC(=O)Oc1ccccc1C(=O)O
2247,2560.0,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
2249,2000.0,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
2256,672.0,CCNc1nc(Cl)nc(NC(C)C)n1
2265,400.0,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12
2266,5000.0,O=C(O)CCCCCCCC(=O)O
2267,310.0,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1
2268,7.0,COP(=S)(OC)SCn1nnc2ccccc2c1=O
2272,1000.0,c1ccc(N=Nc2ccccc2)cc1
2273,2545.0,NS(=O)(=O)c1cc(-c2nn[nH]n2)c(NCc2cccs2)cc1Cl
2284,145.0,NCC(CC(=O)O)c1ccc(Cl)cc1
2286,11300.0,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1
2301,1440.0,Cc1ccc(S(=O)(=O)C=CC#N)cc1
2313,1200.0,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12
2314,40.0,CNC(=O)Oc1cccc2c1OC(C)(C)O2
2316,8010.0,NC(N)=NCC1CCC(C(=O)Oc2ccccc2C(=O)OCc2ccccc2)CC1
2319,10000.0,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
2328,1100.0,CC(C)N1C(=O)c2ccccc2NS1(=O)=O
2333,248.0,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
2337,3042.0,CCOC(=O)c1ccc(N)cc1
2343,10000.0,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O
2345,1700.0,O=C(OCc1ccccc1)c1ccccc1
2347,2330.0,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1
2348,10000.0,NS(=O)(=O)c1cc2c(cc1Cl)NC(Cc1ccccc1)NS2(=O)=O
2355,30000.0,COc1c2ccoc2cc2oc(=O)ccc12
2366,6110.0,CNCCc1ccccn1
2378,1463.0,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
2381,750.0,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
2391,4320.0,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1
2406,7.0,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
2441,1950.0,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1
2446,545.0,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC
2447,1000.0,CC(C)C(Br)C(=O)NC(N)=O
2448,359.0,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1
2449,3750.0,CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O
2450,180.0,O=[N+]([O-])C(Br)(CO)CO
2461,1115.0,CCCCC1C(=O)NC(=O)N(C2CCCCC2)C1=O
2463,620.0,CC(C)=CC(C)=NNc1nncc2ccccc12
2466,3370.0,CCCCOc1ccc(CC(=O)NO)cc1
2471,6000.0,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
2486,12100.0,CCCCC(CC)CNC(=O)CC(C)OC(=O)CCC(=O)O
2513,644.0,C[As](C)(=O)O
2515,2060.0,CCOC(=O)NNc1ccc(N(CC)CC(C)O)nn1
2519,192.0,Cn1c(=O)c2c(ncn2C)n(C)c1=O
2520,163.0,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
2528,38100.0,CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I
2540,2000.0,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
2554,1957.0,NC(=O)N1c2ccccc2C=Cc2ccccc21
2557,17280.0,CN1CC(O)c2cc(N=NC(N)=O)c(O)cc21
2562,150.0,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1
2566,5.0,CNC(=O)Oc1cccc2c1OC(C)(C)C2
2569,27.3,COC(COC(N)=O)C1=C(N2CC2)C(=O)C(C)=C(N2CC2)C1=O
2576,1320.0,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
2577,268.0,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O
2578,20.0,O=NN(CCCl)C(=O)NCCCl
2580,1025.0,NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1
2581,74.0,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12
2681,410.0,CCCCCCCCCCCCCCCC[N+](C)(C)C
2682,5000.0,CCCCCCCCCCCCCCCCO
2707,479.0,OC(O)C(Cl)(Cl)Cl
2708,76.0,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
2712,392.0,CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1
2717,605.0,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1
2719,330.0,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
2720,10000.0,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
2723,3830.0,Cc1cc(O)cc(C)c1Cl
2724,744.0,NC(=O)OCC(O)COc1ccc(Cl)cc1
2725,118.0,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
2726,142.0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
2727,2150.0,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
2728,1200.0,CC(C)OC(=O)Nc1cccc(Cl)c1
2730,82.0,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
2732,5000.0,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
2733,763.0,O=c1[nH]c2cc(Cl)ccc2o1
2743,2500.0,CC(C)=CC1C(C(=O)O)C1(C)C
2754,5000.0,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
2756,5000.0,CN=C(NC#N)NCCSCc1nc[nH]c1C
2758,2480.0,CC12CCC(CC1)C(C)(C)O2
2762,3610.0,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
2764,2000.0,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
2770,3423.0,Cl[Pt]Cl
2787,4000.0,CCC(C)(Oc1ccc(C2(c3ccc(OC(C)(CC)C(=O)O)cc3)CCCCC2)cc1)C(=O)O
2788,5000.0,Oc1c(I)cc(Cl)c2cccnc12
2789,6000.0,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
2794,8400.0,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
2796,940.0,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
2797,897.0,CC(C)(Oc1ccc(Cl)cc1)C(=O)O
2799,4000.0,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1
2800,5750.0,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1
2801,613.0,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
2802,15000.0,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
2803,67.3,Clc1cccc(Cl)c1NC1=NCCN1
2811,1461.0,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl
2812,708.0,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
